district,year,adj_teacher,adj_step_10,adj_median
Oakland,2005,63263,61467,52066
Oakland,2006,61411,60869,51929
Oakland,2007,59574,59761,51123
Oakland,2008,59573,59761,53569
Oakland,2009,58821,59218,56106
Oakland,2010,56737,57044,51650
Oakland,2011,56309,55958,52015
Oakland,2012,56188,55415,49160
Oakland,2013,55670,55525,54394
Oakland,2014,58033,58516,56188
Palo Alto,2005,87562,88034,87964
Palo Alto,2006,89832,88823,88822
Palo Alto,2007,89312,87849,91420
Palo Alto,2008,92393,90046,93668
Palo Alto,2009,93042,89227,92882
Palo Alto,2010,89660,85953,86885
Palo Alto,2011,88293,84316,84107
Palo Alto,2012,89796,86002,83241
Palo Alto,2013,91841,87689,91322
Palo Alto,2014,95811,91635,101051
San Francisco,2005,64504,66454,67845
San Francisco,2006,66292,68375,74667
San Francisco,2007,65393,66966,74825
San Francisco,2008,66128,70628,81178
San Francisco,2009,66099,69986,77139
San Francisco,2010,62894,65952,75332
San Francisco,2011,61526,64695,71991
San Francisco,2012,65644,66606,74472
San Francisco,2013,64434,65649,77485
San Francisco,2014,65238,66584,85070
San Jose,2005,84204,73252,83687
San Jose,2006,74822,80210,84137
San Jose,2007,76695,82097,84659
San Jose,2008,72787,78100,88678
San Jose,2009,73309,78231,83380
San Jose,2010,68818,73334,80634
San Jose,2011,69172,73925,78891
San Jose,2012,68505,73207,81692
San Jose,2013,67386,71772,80977
San Jose,2014,70979,75277,87210
Santa Clara,2005,86601,82602,86510
Santa Clara,2006,85573,81439,94111
Santa Clara,2007,86639,81076,86519
Santa Clara,2008,83436,77869,101960
Santa Clara,2009,83733,81070,91381
Santa Clara,2010,82382,75732,88441
Santa Clara,2011,79861,79417,91687
Santa Clara,2012,78242,77807,95377
Santa Clara,2013,79427,79949,97078
Santa Clara,2014,84412,85213,91188
