county,school_district,full_time_teachers,lowest_salary_offered,average_salary,highest_salary_offered,step_10_salary,school
Trinity,COFFEE CREEK ELEMENTARY,1,33580,50551,50551,45301,Coffee Creek Elementary
Riverside,DESERT CENTER UNIFIED,1,41552,53669,84005,65066,Desert Center Unified
Butte,FEATHER FALLS UNION ELEMENTARY,1,33120,47961,63154,51376,Feather Falls Union Elementary
Tehama,FLOURNOY UNION ELEMENTARY,1,39708,48864,64755,50587,Flournoy Union Elementary
Marin,LINCOLN ELEMENTARY,1,38631,70159,70159,50165,Lincoln Elementary
El Dorado,SILVER FORK ELEMENTARY,1,44029,61831,71741,58886,Silver Fork Elementary
Marin,UNION JOINT ELEMENTARY,1,33965,67031,69042,48425,Union Joint Elementary
Siskiyou,GAZELLE UNION ELEMENTARY,2,37693,39693,45938,43438,Gazelle Union Elementary
Inyo,INYO COUNTY OFFICE OF ED.,2,53649,89139,90931,80674,Inyo County Office Of Ed.
Marin,LAGUNA JOINT ELEMENTARY,2,40980,57931,67408,53214,Laguna Joint Elementary
Siskiyou,LITTLE SHASTA ELEMENTARY,2,34000,44500,55000,55000,Little Shasta Elementary
Ventura,SANTA CLARA ELEMENTARY,2,45691,50641,82124,65032,Santa Clara Elementary
Kern,BELRIDGE ELEMENTARY,3,54296,68570,81137,69537,Belridge Elementary
Yuba,CAMPTONVILLE ELEMENTARY,3,42853,44316,71598,55392,Camptonville Elementary
Tulare,CITRUS SOUTH TULE ELEMENTARY,3,40586,66664,82566,59976,Citrus South Tule Elementary
Marin,NICASIO ELEMENTARY,3,50540,67282,89971,73797,Nicasio Elementary
Monterey,SAN LUCAS UNION ELEMENTARY,3,36771,47028,70904,48719,San Lucas Union Elementary
Fresno,BIG CREEK ELEMENTARY,4,37121,60892,66325,56662,Big Creek Elementary
Shasta,"IGO, ONO, PLATINA UNION ELEMENTARY",4,38975,42940,58799,47955,"Igo, Ono, Platina Union Elementary"
Imperial,MULBERRY ELEMENTARY,4,37183,47541,71948,62700,Mulberry Elementary
Tulare,OUTSIDE CREEK ELEMENTARY,4,39531,47638,68858,54226,Outside Creek Elementary
Siskiyou,MCCLOUD UNION ELEMENTARY,4.5,34000,53160,55308,46385,Mccloud Union Elementary
Inyo,DEATH VALLEY UNIFIED,4.6,36638,51603,72626,59550,Death Valley Unified
Tulare,ALLENSWORTH ELEMENTARY,5,35191,45727,65978,51547,Allensworth Elementary
Kern,CALIENTE UNION ELEMENTARY,5,24575,39362,53195,45617,Caliente Union Elementary
Stanislaus,KNIGHTS FERRY ELEMENTARY,5,36347,58761,76118,51822,Knights Ferry Elementary
Merced,PLAINSBURG UNION ELEMENTARY,5,33654,41147,62980,48532,Plainsburg Union Elementary
Madera,RAYMOND-KNOWLES UNION ELEMENTARY,5,30901,41659,60764,45848,Raymond-Knowles Union Elementary
Trinity,TRINITY COUNTY OFFICE OF ED.,5.13,41303,64602,78322,63089,Trinity County Office Of Ed.
Placer,ALTA-DUTCH FLAT UNION ELEMENTARY,5.5,41418,66338,78746,62585,Alta-Dutch Flat Union Elementary
Sonoma,HORICON ELEMENTARY,5.5,37924,56225,74235,56746,Horicon Elementary
Tulare,STONE CORRAL ELEMENTARY,5.5,36758,49804,72329,47066,Stone Corral Elementary
Butte,BANGOR UNION ELEMENTARY,6,39097,54186,67415,50750,Bangor Union Elementary
Tulare,SAUCELITO ELEMENTARY,6,34247,57144,67533,51977,Saucelito Elementary
Stanislaus,SHILOH ELEMENTARY,6,42706,53926,72764,57450,Shiloh Elementary
Nevada,TWIN RIDGES ELEMENTARY,6,42085,55031,65566,58255,Twin Ridges Elementary
Humboldt,MATTOLE UNIFIED,6.7,34292,43355,52867,48581,Mattole Unified
Siskiyou,DUNSMUIR ELEMENTARY,7,39391,55252,58637,53732,Dunsmuir Elementary
Humboldt,LOLETA UNION ELEMENTARY,7,36761,52348,70999,49825,Loleta Union Elementary
San Luis Obispo,PLEASANT VALLEY JOINT UN ELEMENTARY,7,35263,55807,82796,55721,Pleasant Valley Joint Un Elementary
Stanislaus,VALLEY HOME JOINT ELEMENTARY,7,40918,52120,74715,55969,Valley Home Joint Elementary
Tulare,THREE RIVERS UNION ELEMENTARY,7.5,35374,42401,67997,44864,Three Rivers Union Elementary
Butte,GOLDEN FEATHER UNION ELEMENTARY,7.6,38943,65711,85768,57977,Golden Feather Union Elementary
Ventura,MUPU ELEMENTARY,7.63,41791,63204,82386,72307,Mupu Elementary
Tuolumne,BELLEVIEW ELEMENTARY,7.75,38444,53899,65197,57131,Belleview Elementary
Santa Cruz,HAPPY VALLEY ELEMENTARY,7.8,33710,60976,70932,55875,Happy Valley Elementary
Santa Barbara,BALLARD ELEMENTARY,8,51574,87957,101598,87362,Ballard Elementary
Tulare,COLUMBINE ELEMENTARY,8,44174,77469,79639,68836,Columbine Elementary
Lake,LAKE COUNTY OFFICE OF ED.,8,44232,55421,64882,59374,Lake County Office Of Ed.
Merced,MERCED RIVER UNION ELEMENTARY,8,40196,60013,73805,57144,Merced River Union Elementary
Sutter,NUESTRO ELEMENTARY,8,39676,48250,53593,50109,Nuestro Elementary
Lassen,SHAFFER UNION ELEMENTARY,8,42373,66844,77541,57413,Shaffer Union Elementary
Nevada,CLEAR CREEK ELEMENTARY,8.17,46380,61040,73742,59184,Clear Creek Elementary
Siskiyou,DUNSMUIR JOINT UNION HIGH,8.25,36428,40782,53043,49605,Dunsmuir Joint Union High
Santa Cruz,BONNY DOON ELEMENTARY,8.6,38446,55275,79478,57806,Bonny Doon Elementary
Santa Barbara,BLOCHMAN UNION ELEMENTARY,9,38838,56035,76388,60354,Blochman Union Elementary
Merced,EL NIDO ELEMENTARY,9,43225,60669,69381,59330,El Nido Elementary
Kern,GENERAL SHAFTER ELEMENTARY,9,38451,57706,79212,60798,General Shafter Elementary
