county,school_district,full_time_teachers,lowest_salary_offered,average_salary,highest_salary_offered,step_10_salary,school
Trinity,COFFEE CREEK ELEMENTARY,1,"33,580","50,551","50,551","45,301",Coffee Creek Elementary
Riverside,DESERT CENTER UNIFIED,1,"41,552","53,669","84,005","65,066",Desert Center Unified
Butte,FEATHER FALLS UNION ELEMENTARY,1,"33,120","47,961","63,154","51,376",Feather Falls Union Elementary
Tehama,FLOURNOY UNION ELEMENTARY,1,"39,708","48,864","64,755","50,587",Flournoy Union Elementary
Marin,LINCOLN ELEMENTARY,1,"38,631","70,159","70,159","50,165",Lincoln Elementary
El Dorado,SILVER FORK ELEMENTARY,1,"44,029","61,831","71,741","58,886",Silver Fork Elementary
Marin,UNION JOINT ELEMENTARY,1,"33,965","67,031","69,042","48,425",Union Joint Elementary
Siskiyou,GAZELLE UNION ELEMENTARY,2,"37,693","39,693","45,938","43,438",Gazelle Union Elementary
Inyo,INYO COUNTY OFFICE OF ED.,2,"53,649","89,139","90,931","80,674",Inyo County Office Of Ed.
Marin,LAGUNA JOINT ELEMENTARY,2,"40,980","57,931","67,408","53,214",Laguna Joint Elementary
Siskiyou,LITTLE SHASTA ELEMENTARY,2,"34,000","44,500","55,000","55,000",Little Shasta Elementary
Ventura,SANTA CLARA ELEMENTARY,2,"45,691","50,641","82,124","65,032",Santa Clara Elementary
Kern,BELRIDGE ELEMENTARY,3,"54,296","68,570","81,137","69,537",Belridge Elementary
Yuba,CAMPTONVILLE ELEMENTARY,3,"42,853","44,316","71,598","55,392",Camptonville Elementary
Tulare,CITRUS SOUTH TULE ELEMENTARY,3,"40,586","66,664","82,566","59,976",Citrus South Tule Elementary
Marin,NICASIO ELEMENTARY,3,"50,540","67,282","89,971","73,797",Nicasio Elementary
Monterey,SAN LUCAS UNION ELEMENTARY,3,"36,771","47,028","70,904","48,719",San Lucas Union Elementary
Fresno,BIG CREEK ELEMENTARY,4,"37,121","60,892","66,325","56,662",Big Creek Elementary
Shasta,"IGO, ONO, PLATINA UNION ELEMENTARY",4,"38,975","42,940","58,799","47,955","Igo, Ono, Platina Union Elementary"
Imperial,MULBERRY ELEMENTARY,4,"37,183","47,541","71,948","62,700",Mulberry Elementary
Tulare,OUTSIDE CREEK ELEMENTARY,4,"39,531","47,638","68,858","54,226",Outside Creek Elementary
Siskiyou,MCCLOUD UNION ELEMENTARY,4.5,"34,000","53,160","55,308","46,385",Mccloud Union Elementary
Inyo,DEATH VALLEY UNIFIED,4.6,"36,638","51,603","72,626","59,550",Death Valley Unified
Tulare,ALLENSWORTH ELEMENTARY,5,"35,191","45,727","65,978","51,547",Allensworth Elementary
Kern,CALIENTE UNION ELEMENTARY,5,"24,575","39,362","53,195","45,617",Caliente Union Elementary
Stanislaus,KNIGHTS FERRY ELEMENTARY,5,"36,347","58,761","76,118","51,822",Knights Ferry Elementary
Merced,PLAINSBURG UNION ELEMENTARY,5,"33,654","41,147","62,980","48,532",Plainsburg Union Elementary
Madera,RAYMOND-KNOWLES UNION ELEMENTARY,5,"30,901","41,659","60,764","45,848",Raymond-Knowles Union Elementary
Trinity,TRINITY COUNTY OFFICE OF ED.,5.13,"41,303","64,602","78,322","63,089",Trinity County Office Of Ed.
Placer,ALTA-DUTCH FLAT UNION ELEMENTARY,5.5,"41,418","66,338","78,746","62,585",Alta-Dutch Flat Union Elementary
Sonoma,HORICON ELEMENTARY,5.5,"37,924","56,225","74,235","56,746",Horicon Elementary
Tulare,STONE CORRAL ELEMENTARY,5.5,"36,758","49,804","72,329","47,066",Stone Corral Elementary
Butte,BANGOR UNION ELEMENTARY,6,"39,097","54,186","67,415","50,750",Bangor Union Elementary
Tulare,SAUCELITO ELEMENTARY,6,"34,247","57,144","67,533","51,977",Saucelito Elementary
Stanislaus,SHILOH ELEMENTARY,6,"42,706","53,926","72,764","57,450",Shiloh Elementary
Nevada,TWIN RIDGES ELEMENTARY,6,"42,085","55,031","65,566","58,255",Twin Ridges Elementary
Humboldt,MATTOLE UNIFIED,6.7,"34,292","43,355","52,867","48,581",Mattole Unified
Siskiyou,DUNSMUIR ELEMENTARY,7,"39,391","55,252","58,637","53,732",Dunsmuir Elementary
Humboldt,LOLETA UNION ELEMENTARY,7,"36,761","52,348","70,999","49,825",Loleta Union Elementary
San Luis Obispo,PLEASANT VALLEY JOINT UN ELEMENTARY,7,"35,263","55,807","82,796","55,721",Pleasant Valley Joint Un Elementary
Stanislaus,VALLEY HOME JOINT ELEMENTARY,7,"40,918","52,120","74,715","55,969",Valley Home Joint Elementary
Tulare,THREE RIVERS UNION ELEMENTARY,7.5,"35,374","42,401","67,997","44,864",Three Rivers Union Elementary
Butte,GOLDEN FEATHER UNION ELEMENTARY,7.6,"38,943","65,711","85,768","57,977",Golden Feather Union Elementary
Ventura,MUPU ELEMENTARY,7.63,"41,791","63,204","82,386","72,307",Mupu Elementary
Tuolumne,BELLEVIEW ELEMENTARY,7.75,"38,444","53,899","65,197","57,131",Belleview Elementary
Santa Cruz,HAPPY VALLEY ELEMENTARY,7.8,"33,710","60,976","70,932","55,875",Happy Valley Elementary
Santa Barbara,BALLARD ELEMENTARY,8,"51,574","87,957","101,598","87,362",Ballard Elementary
Tulare,COLUMBINE ELEMENTARY,8,"44,174","77,469","79,639","68,836",Columbine Elementary
Lake,LAKE COUNTY OFFICE OF ED.,8,"44,232","55,421","64,882","59,374",Lake County Office Of Ed.
Merced,MERCED RIVER UNION ELEMENTARY,8,"40,196","60,013","73,805","57,144",Merced River Union Elementary
Sutter,NUESTRO ELEMENTARY,8,"39,676","48,250","53,593","50,109",Nuestro Elementary
Lassen,SHAFFER UNION ELEMENTARY,8,"42,373","66,844","77,541","57,413",Shaffer Union Elementary
Nevada,CLEAR CREEK ELEMENTARY,8.17,"46,380","61,040","73,742","59,184",Clear Creek Elementary
