district,year,adj_teacher,adj_step_10,adj_median
Oakland,2005,65065,63218,53549
Oakland,2006,63333,62774,53555
Oakland,2007,61909,62103,53127
Oakland,2008,59619,59807,53610
Oakland,2009,59618,60020,56866
Oakland,2010,58733,59052,53467
Oakland,2011,57604,57245,53211
Oakland,2012,56867,56084,49754
Oakland,2013,56640,56493,55342
Oakland,2014,58102,58586,56255
San Francisco,2005,66340,68346,69777
San Francisco,2006,68367,70515,77004
San Francisco,2007,67956,69591,77758
San Francisco,2008,66179,70682,81241
San Francisco,2009,66995,70935,78185
San Francisco,2010,65107,68272,77983
San Francisco,2011,62941,66183,73647
San Francisco,2012,66438,67411,75372
San Francisco,2013,65557,66793,78836
San Francisco,2014,65316,66663,85171
San Jose,2005,75338,80382,86070
San Jose,2006,77163,82721,86770
San Jose,2007,79702,85316,87978
San Jose,2008,72843,78160,88746
San Jose,2009,74303,79292,84510
San Jose,2010,71240,75915,83471
San Jose,2011,70763,75625,80705
San Jose,2012,69333,74092,82679
San Jose,2013,68561,73023,82388
San Jose,2014,71063,75367,87314
Santa Clara,2005,82602,86601,86510
Santa Clara,2006,81439,85573,94111
Santa Clara,2007,81076,86639,86519
Santa Clara,2008,77869,83436,101960
Santa Clara,2009,81070,83733,91381
Santa Clara,2010,75732,82382,88441
Santa Clara,2011,79417,79861,91687
Santa Clara,2012,77807,78242,95377
Santa Clara,2013,79949,79427,97078
Santa Clara,2014,85213,84412,91188
