county,county,school_district,full_time_employees,average_salary,step_10
43,Santa Clara County,PALO ALTO UNIFIED,809.51,95811,91635
30,Orange County,ANAHEIM UNION HIGH,1301,90749,90682
30,Orange County,HUNTINGTON BEACH UNION HIGH,663.66,86034,88671
33,Riverside County,CORONA-NORCO UNIFIED,2326.5,89308,86860
30,Orange County,GARDEN GROVE UNIFIED,1918.98,89105,86117
30,Orange County,ANAHEIM ELEMENTARY,841.87,85962,86032
1,Alameda County,NEW HAVEN UNIFIED,604.35,88820,85354
43,Santa Clara County,EAST SIDE UNION HIGH,1148.3,84725,85132
56,Ventura County,OXNARD UNION HIGH,679.5,78948,84327
43,Santa Clara County,SANTA CLARA UNIFIED,778.45,85112,84312
1,Alameda County,FREMONT UNIFIED,1615.29,83968,84043
1,Alameda County,PLEASANTON UNIFIED,610.54,89522,83191
30,Orange County,NEWPORT-MESA UNIFIED,981.9,88376,83007
19,Los Angeles County,DOWNEY UNIFIED,942.9,88103,82996
36,San Bernardino County,CHAFFEY UNION HIGH,947.8,88427,80954
43,Santa Clara County,CUPERTINO UNION ELEMENTARY,865.71,78280,80582
37,San Diego County,POWAY UNIFIED,1456.09,77791,79910
42,Santa Barbara County,SANTA MARIA-BONITA ELEMENTARY,676.55,78953,79592
1,Alameda County,HAYWARD UNIFIED,1095.91,80220,79459
33,Riverside County,ALVORD UNIFIED,737,85668,78914
30,Orange County,IRVINE UNIFIED,1387.54,77121,78770
36,San Bernardino County,ONTARIO-MONTCLAIR ELEMENTARY,1186.46,82198,78733
19,Los Angeles County,TORRANCE UNIFIED,993.01,76851,78560
30,Orange County,TUSTIN UNIFIED,924.82,79250,77747
19,Los Angeles County,MONTEBELLO UNIFIED,1167,83615,77730
30,Orange County,PLACENTIA-YORBA LINDA UNIFIED,1085.62,80592,77650
30,Orange County,SANTA ANA UNIFIED,2524.67,82966,77227
36,San Bernardino County,REDLANDS UNIFIED,976,80558,76873
33,Riverside County,RIVERSIDE UNIFIED,1803.5,81908,76557
50,Stanislaus County,MODESTO CITY SCHOOLS,1384.2,82285,76320
33,Riverside County,TEMECULA VALLEY UNIFIED,1219.8,82811,76068
33,Riverside County,VAL VERDE UNIFIED,824,75804,75834
19,Los Angeles County,POMONA UNIFIED,1207.7,78415,75723
43,Santa Clara County,SAN JOSE UNIFIED,1674,70979,75277
19,Los Angeles County,LYNWOOD UNIFIED,676,73242,74995
30,Orange County,CAPISTRANO UNIFIED,2012.7,83235,74947
36,San Bernardino County,SAN BERNARDINO CITY UNIFIED,2646,76890,74675
